Brand,Product Name,Price,Shipping
ASUS,"ASUS TUF Gaming NVIDIA GeForce RTX 4070 OC Edition Gaming Graphics Card (PCIe 4.0, 12GB GDDR6X, HDMI 2.1, DisplayPort 1.4a) TUF-RTX4070-O12G-GAMING",819.99,Free Shipping
MSI,MSI Mech Radeon RX 6750 XT Video Card RX 6750 XT MECH 2X 12G OC,389.99,Free Shipping
51Risc,51Risc AMD Radeon RX 580 DirectX 12 RX580 8G 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Gaming Video Card Mining GPU,85.00,Free Shipping
GIGABYTE,GIGABYTE AERO GeForce RTX 4070 Video Card GV-N4070AERO OC-12GD,739.99,Free Shipping
MSI,MSI Gaming GeForce RTX 4070 Video Card RTX 4070 GAMING X TRIO 12G,649.99,Free Shipping
AISURIX,"AISURIX Radeon RX 580 Graphic Cards, 2048SP, Real 8GB, GDDR5, 256 Bit, Pc Gaming Radeon Video Card for AMD, 2XDP, HDMI, PCI Express 3.0 with Freeze Fan Stop for Desktop Computer Gaming Gpu",99.00,Free Shipping
GIGABYTE,GIGABYTE WINDFORCE GeForce RTX 4070 Video Card GV-N4070WF3OC-12GD,689.99,Free Shipping
ASUS,"ASUS Dual GeForce RTX 4070 12GB GDDR6X, IP5X, Auto-Extreme Technology, 144-Hour Validation Program, HDMI 2.1a, DP 1.4a, DUAL-RTX4070-12G",819.99,Free Shipping
Mannajue,"RX 580 Graphic Cards, 2048SP, Real 8GB, GDDR5, 256 Bit, Pc Gaming Radeon Video Card,3XDP, HDMI, PCI Express 3.0 with Freeze Fan Stop for Desktop Computer Gaming Gpu",94.99,Free Shipping
MSI,MSI Ventus GeForce RTX 4070 Video Card RTX 4070 VENTUS 3X 12G,599.99,Free Shipping
Sapphire Tech,SAPPHIRE PULSE Radeon RX 6700 Video Card 11321-02-20G,364.99,Free Shipping
GIGABYTE,GIGABYTE Gaming OC GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 ATX Video Card GV-N3060GAMING OC-12GD (rev. 2.0) (LHR),369.99,Free Shipping
MSI,MSI Gaming GeForce RTX 3050 Video Card RTX 3050 Gaming X 8G,364.99,Free Shipping
ASRock,ASRock Challenger D Radeon RX 6700 XT Video Card RX6700XT CLD 12GO,359.99,Free Shipping
ASRock,ASRock Radeon RX 6600 Video Card RX6600 CLD 8G,234.99,Free Shipping
51Risc,51RISC RX5500XT 8G D6 Gaming Graphics Card with 8G/128bit/GDDR6 Memory 16GHz Memory Frequency DirectX12 3D Feature Ship From USA,119.00,Free Shipping
